label,precision,recall,f1-score,support,optimal_threshold
Entertainment,0.036,0.544,0.068,2369,0.5
Fashion,0.093,0.708,0.165,8093,0.6
Health,0.059,0.676,0.107,3157,0.55
Hip_hop_music,0.026,0.624,0.049,117,0.48
Hobby,0.041,0.578,0.076,4621,0.52
Humour,0.018,0.414,0.032,131,0.5
Knowledge,0.027,0.207,0.047,150,0.49
Lifestyle_(sociology),0.977,0.763,0.857,193668,0.8
Music,0.007,0.392,0.014,119,0.5
Music_of_Asia,0.033,0.528,0.062,1016,0.53
Performing_arts,0.009,0.674,0.017,43,0.45
Physical_attractiveness,0.967,0.973,0.97,193116,0.88
Physical_fitness,0.023,0.247,0.041,494,0.5
Politics,0.074,0.341,0.122,123,0.51
Pop_music,0.198,0.381,0.259,2243,0.57
Religion,0.089,0.4,0.158,45,0.46
Society,0.102,0.468,0.167,462,0.55
Sport,0.054,0.433,0.096,208,0.5
Television_program,0.026,0.355,0.066,197,0.5
Tourism,0.002,0.385,0.005,26,0.5
